null,Sourced,Placed,References,Value,Footprint,Quantity
1,,,"C1, C2, C3, C4, C5, C6, C8, C9, C10, C11, C12, C13, C14, C16, C18, C20, C39, C44, C45, C47, C50",100n,0603,21
2,,,"C25, C31, C37, C43",834p,4x1206_2,4
3,,,"C19, C46, C49",1u,0603,3
4,,,"C26, C32, C38",C_Small,6x1206,3
5,,,"C7, C17",10u,1206,2
6,,,"C21, C39",71p,4x1206_2,2
7,,,"C22, C40",123p,4x1206_2,2
8,,,"C23, C41",203p,4x1206_2,2
9,,,"C24, C42",357p,4x1206_2,2
10,,,"C27, C33",127p,4x1206_2,2
11,,,"C28, C34",218p,4x1206_2,2
12,,,"C29, C35",360p,4x1206_2,2
13,,,"C30, C36",635p,4x1206_2,2
14,,,"C48, C51",10n,0603,2
15,,,C15,10u,1206,1
16,,,"R2, R3, R4, R5, R12, R13",100,0603,6
17,,,"R6, R7, R9, R10",100,2010,4
18,,,"R8, R11",10k,0603,2
19,,,R1,10,0603,1
20,,,"L1, L2, L3, L4, L5, L7, L8, L9, L10, L11, L13, L14, L15, L16, L17",L,T94-Inductor,15
21,,,"L6, L12",L,T106-Inductor,2
22,,,"L20, L21",100u,0805,2
23,,,L18,FT50-61 30T 1T RG-142 coax,T94-SWR_TRAFO,1
24,,,L19,FT82-61 30T 1T-RG213 coax,T94-SWR_TRAFO,1
25,,,"D1, D2, D3, D4, D5, D6, D10, D11, D12, D13, D14, D15",1N4007,D_SMA,12
26,,,"D7, D8, D9, D16, D17, D18, D21, D22",SD12_SOD323,D_SOD-323,8
27,,,"D19, D20",Schottky,D_SMA,2
28,,,U1,AMS1117-5,SOT-223-3_TabPin2,1
29,,,U2,74AHC595,SO-16_3.9x9.9mm_P1.27mm,1
30,,,U3,ULN2003,SO-16_3.9x9.9mm_P1.27mm,1
31,,,"REL1, REL2, REL3, REL4, REL5, REL6, REL7, REL8, REL9, REL10, REL11, REL12",RM85,RM85_Relay,12
32,,,"RV1, RV2",10k,Potentiometer_Bourns_3266Y_Vertical,2
33,,,"J1, J4",Conn_01x07,JST_EH_B7B-EH-A_1x07_P2.50mm_Vertical,2
34,,,J2,12V INPUT,TerminalBlock_bornier-2_P5.08mm,1
35,,,J3, RF input,Coax_Mount,1
36,,,J5,RF output,Coax_Mount,1
